ID,Source,Name,Type,Description,Surname,Alias1,Alias2,Alias3,Alias4,Alias5,Greek,GreekSurname,GreekAlias,GreekAlias2,URI,Note,MattConfirmed,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,T1,T2,T3,T4,T5
999,NT and AN,Isaac,,,,,,,,,Ισαάκ,,,,,,Y,1008,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,NT Only,Judas,,,,,,,,,Ιούδας,,,,,,Y,999,102,103,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,NT Only,Phares,,,,,,,,,Φαρές,,,,,,Y,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,NT Only,Zara,,of Thamar,,,,,,,Ζαρέ,,,,,,Y,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,NT Only,Thamar,Place,,,,,,,,Θαμάρ,,,,,,Y,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,NT Only,Aminadab,,,,,,,,,Αμειναδάβ,,,,,,Y,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,NT Only,Naasson,,,,,,,,,Ναασσών,,,,,,Y,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,NT Only,Salmon,,,,,,,,,Σαλμών,,,,,,Y,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,NT Only,Booz,,,,Boaz,,,,,Βοές,,,,,,Y,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,NT Only,Rachab,,,,,,,,,Ραχάβ,,,,,,Y,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
